12											
0	633	257	91	412	150	80	134	259	505	353	324
633	0	390	661	227	488	572	530	555	289	282	638
257	390	0	228	169	112	196	154	372	262	110	437
91	661	228	0	383	120	77	105	175	476	324	240
412	227	169	383	0	267	351	309	338	196	61	421
150	488	112	120	267	0	63	34	264	360	208	329
80	572	196	77	351	63	0	29	232	444	292	297
134	530	154	105	309	34	29	0	249	402	250	314
259	555	372	175	338	264	232	249	0	495	352	95
505	289	262	476	196	360	444	402	495	0	154	578
353	282	110	324	61	208	292	250	352	154	0	435
324	638	437	240	421	329	297	314	95	578	435	0
